name,MDVP:Fo(Hz),MDVP:Fhi(Hz),MDVP:Flo(Hz),MDVP:Jitter(%),MDVP:Jitter(Abs),MDVP:RAP,MDVP:PPQ,Jitter:DDP,MDVP:Shimmer,MDVP:Shimmer(dB),Shimmer:APQ3,Shimmer:APQ5,MDVP:APQ,Shimmer:DDA,NHR,HNR,RPDE,DFA,spread1,spread2,D2,PPE
phon_R01_S01_1,119.992,157.302,74.997,0.00784,7.00E-05,0.0037,0.00554,0.01109,0.04374,0.426,0.02182,0.0313,0.02971,0.06545,0.02211,21.033,0.414783,0.815285,-4.813031,0.266482,2.301442,0.284654
phon_R01_S02_4,95.056,120.103,91.226,0.00532,6.00E-05,0.00268,0.00332,0.00803,0.02838,0.255,0.01441,0.01725,0.02444,0.04324,0.01022,21.862,0.547037,0.798463,-5.011879,0.325996,2.432792,0.271362
phon_R01_S02_5,88.333,112.24,84.072,0.00505,6.00E-05,0.00254,0.0033,0.00763,0.02143,0.197,0.01079,0.01342,0.01892,0.03237,0.01166,21.118,0.611137,0.776156,-5.24977,0.391002,2.407313,0.24974
phon_R01_S05_2,156.405,189.398,142.822,0.00768,5.00E-05,0.00372,0.00399,0.01116,0.03995,0.348,0.01721,0.02374,0.0431,0.05164,0.03365,17.153,0.649554,0.68608,-4.554466,0.340176,2.856676,0.322111
phon_R01_S05_3,153.848,165.738,65.782,0.0084,5.00E-05,0.00428,0.0045,0.01285,0.0381,0.328,0.01667,0.02383,0.04055,0.05,0.03871,17.536,0.660125,0.704087,-4.095442,0.262564,2.73971,0.365391
phon_R01_S05_4,153.88,172.86,78.128,0.0048,3.00E-05,0.00232,0.00267,0.00696,0.04137,0.37,0.02021,0.02591,0.04525,0.06062,0.01849,19.493,0.629017,0.698951,-5.18696,0.237622,2.557536,0.259765
phon_R01_S05_5,167.93,193.221,79.068,0.00442,3.00E-05,0.0022,0.00247,0.00661,0.04351,0.377,0.02228,0.0254,0.04246,0.06685,0.0128,22.468,0.61906,0.679834,-4.330956,0.262384,2.916777,0.285695
phon_R01_S05_6,173.917,192.735,86.18,0.00476,3.00E-05,0.00221,0.00258,0.00663,0.04192,0.364,0.02187,0.0247,0.03772,0.06562,0.0184,20.422,0.537264,0.686894,-5.248776,0.210279,2.547508,0.253556
phon_R01_S06_1,163.656,200.841,76.779,0.00742,5.00E-05,0.0038,0.0039,0.0114,0.01659,0.164,0.00738,0.00948,0.01497,0.02214,0.01778,23.831,0.397937,0.732479,-5.557447,0.22089,2.692176,0.215961
phon_R01_S06_2,104.4,206.002,77.968,0.00633,6.00E-05,0.00316,0.00375,0.00948,0.03767,0.381,0.01732,0.02245,0.0378,0.05197,0.02887,22.066,0.522746,0.737948,-5.571843,0.236853,2.846369,0.219514
phon_R01_S06_3,171.041,208.313,75.501,0.00455,3.00E-05,0.0025,0.00234,0.0075,0.01966,0.186,0.00889,0.01169,0.01872,0.02666,0.01095,25.908,0.418622,0.720916,-6.18359,0.226278,2.589702,0.147403
phon_R01_S06_4,146.845,208.701,81.737,0.00496,3.00E-05,0.0025,0.00275,0.00749,0.01919,0.198,0.00883,0.01144,0.01826,0.0265,0.01328,25.119,0.358773,0.726652,-6.27169,0.196102,2.314209,0.162999
phon_R01_S06_5,155.358,227.383,80.055,0.0031,2.00E-05,0.00159,0.00176,0.00476,0.01718,0.161,0.00769,0.01012,0.01661,0.02307,0.00677,25.97,0.470478,0.676258,-7.120925,0.279789,2.241742,0.108514
phon_R01_S08_3,180.198,201.249,175.456,0.00284,2.00E-05,0.00153,0.00166,0.00459,0.01444,0.131,0.00726,0.00885,0.0119,0.02177,0.00231,26.738,0.403884,0.766209,-6.452058,0.212294,2.269398,0.141929
phon_R01_S08_4,187.733,202.324,173.015,0.00316,2.00E-05,0.00168,0.00182,0.00504,0.01663,0.151,0.00829,0.01003,0.01366,0.02488,0.00265,26.31,0.396793,0.758324,-6.006647,0.266892,2.382544,0.160691
phon_R01_S08_5,186.163,197.724,177.584,0.00298,2.00E-05,0.00165,0.00175,0.00496,0.01495,0.135,0.00774,0.00941,0.01233,0.02321,0.00231,26.822,0.32648,0.765623,-6.647379,0.201095,2.374073,0.130554
phon_R01_S08_6,184.055,196.537,166.977,0.00258,1.00E-05,0.00134,0.00147,0.00403,0.01463,0.132,0.00742,0.00901,0.01234,0.02226,0.00257,26.453,0.306443,0.759203,-7.044105,0.063412,2.361532,0.11573
phon_R01_S10_3,243.439,250.912,232.435,0.0021,9.00E-06,0.00109,0.00137,0.00327,0.01419,0.126,0.00777,0.00898,0.01033,0.0233,0.00454,25.368,0.438296,0.635285,-7.057869,0.091608,2.330716,0.09147
phon_R01_S10_4,242.852,255.034,227.911,0.00225,9.00E-06,0.00117,0.00139,0.0035,0.01494,0.134,0.00847,0.00879,0.01014,0.02542,0.00476,25.032,0.431285,0.638928,-6.99582,0.102083,2.3658,0.102706
phon_R01_S10_5,245.51,262.09,231.848,0.00235,1.00E-05,0.00127,0.00148,0.0038,0.01608,0.141,0.00906,0.00977,0.01149,0.02719,0.00476,24.602,0.467489,0.631653,-7.156076,0.127642,2.392122,0.097336
phon_R01_S10_6,252.455,261.487,182.786,0.00185,7.00E-06,0.00092,0.00113,0.00276,0.01152,0.103,0.00614,0.0073,0.0086,0.01841,0.00432,26.805,0.610367,0.635204,-7.31951,0.200873,2.028612,0.086398
phon_R01_S13_1,122.188,128.611,115.765,0.00524,4.00E-05,0.00169,0.00203,0.00507,0.01613,0.143,0.00855,0.00776,0.01433,0.02566,0.00839,23.162,0.579597,0.733659,-6.439398,0.266392,2.079922,0.133867
phon_R01_S16_4,117.274,129.916,110.402,0.00752,6.00E-05,0.00299,0.00469,0.00898,0.02293,0.221,0.01189,0.01459,0.01948,0.03568,0.00681,22.817,0.530529,0.817756,-4.60826,0.290024,2.021591,0.314464
phon_R01_S16_5,116.879,131.897,108.153,0.00788,7.00E-05,0.00334,0.00493,0.01003,0.02645,0.265,0.01394,0.01625,0.02137,0.04183,0.00786,22.603,0.540049,0.813432,-4.476755,0.262633,1.827012,0.326197
phon_R01_S16_6,114.847,271.314,104.68,0.00867,8.00E-05,0.00373,0.0052,0.0112,0.03225,0.35,0.01805,0.01974,0.02519,0.05414,0.01143,21.66,0.547975,0.817396,-4.609161,0.221711,1.831691,0.316395
phon_R01_S17_1,209.144,237.494,109.379,0.00282,1.00E-05,0.00147,0.00152,0.00442,0.01861,0.17,0.00975,0.01258,0.01382,0.02925,0.00871,25.554,0.341788,0.678874,-7.040508,0.066994,2.460791,0.101516
phon_R01_S17_2,223.365,238.987,98.664,0.00264,1.00E-05,0.00154,0.00151,0.00461,0.01906,0.165,0.01013,0.01296,0.0134,0.03039,0.00301,26.138,0.447979,0.686264,-7.293801,0.086372,2.32156,0.098555
phon_R01_S17_3,222.236,231.345,205.495,0.00266,1.00E-05,0.00152,0.00144,0.00457,0.01643,0.145,0.00867,0.01108,0.012,0.02602,0.0034,25.856,0.364867,0.694399,-6.966321,0.095882,2.278687,0.103224
phon_R01_S17_4,228.832,234.619,223.634,0.00296,1.00E-05,0.00175,0.00155,0.00526,0.01644,0.145,0.00882,0.01075,0.01179,0.02647,0.00351,25.964,0.25657,0.683296,-7.24562,0.018689,2.498224,0.093534
phon_R01_S17_5,229.401,252.221,221.156,0.00205,9.00E-06,0.00114,0.00113,0.00342,0.01457,0.129,0.00769,0.00957,0.01016,0.02308,0.003,26.415,0.27685,0.673636,-7.496264,0.056844,2.003032,0.073581
phon_R01_S17_6,228.969,239.541,113.201,0.00238,1.00E-05,0.00136,0.0014,0.00408,0.01745,0.154,0.00942,0.0116,0.01234,0.02827,0.0042,24.547,0.305429,0.681811,-7.314237,0.006274,2.118596,0.091546
phon_R01_S18_1,140.341,159.774,67.021,0.00817,6.00E-05,0.0043,0.0044,0.01289,0.03198,0.313,0.0183,0.0181,0.02428,0.0549,0.02183,19.56,0.460139,0.720908,-5.409423,0.22685,2.359973,0.226156
phon_R01_S18_2,136.969,166.607,66.004,0.00923,7.00E-05,0.00507,0.00463,0.0152,0.03111,0.308,0.01638,0.01759,0.02603,0.04914,0.02659,19.979,0.498133,0.729067,-5.324574,0.20566,2.291558,0.226247
phon_R01_S20_3,96.106,108.664,84.51,0.00694,7.00E-05,0.00389,0.00415,0.01168,0.04024,0.364,0.02266,0.02451,0.02876,0.06799,0.01823,19.055,0.544805,0.770466,-4.441519,0.155097,2.645959,0.327978
phon_R01_S20_4,95.605,107.715,87.549,0.00702,7.00E-05,0.00428,0.00371,0.01283,0.03156,0.296,0.01792,0.01841,0.0219,0.05377,0.01825,19.659,0.576084,0.778747,-5.132032,0.210458,2.232576,0.260633
phon_R01_S21_4,176.281,227.381,125.61,0.0052,3.00E-05,0.00287,0.00312,0.00862,0.06511,0.58,0.03671,0.04159,0.04683,0.11012,0.04824,13.922,0.602874,0.740837,-5.515071,0.299549,3.13655,0.220968
phon_R01_S21_5,173.898,211.35,74.677,0.00448,3.00E-05,0.00237,0.00254,0.0071,0.06727,0.65,0.03788,0.04254,0.04802,0.11363,0.04214,14.739,0.599371,0.743937,-5.783272,0.299793,3.007096,0.194052
phon_R01_S22_5,157.447,163.267,149.605,0.00369,2.00E-05,0.00201,0.00197,0.00602,0.03272,0.283,0.01813,0.01909,0.02571,0.05439,0.01018,21.693,0.447285,0.705658,-6.247076,0.180528,2.344348,0.164916
phon_R01_S22_6,159.116,168.913,144.811,0.00342,2.00E-05,0.00178,0.00184,0.00535,0.03381,0.307,0.01806,0.02024,0.02809,0.05417,0.00852,22.663,0.366329,0.693429,-6.41744,0.194627,2.473239,0.151709
phon_R01_S24_1,125.036,143.946,116.187,0.0128,0.0001,0.00743,0.00623,0.02228,0.03886,0.342,0.02135,0.02174,0.03088,0.06406,0.08151,15.338,0.629574,0.714485,-4.020042,0.265315,2.671825,0.340623
phon_R01_S25_5,151.884,157.765,133.751,0.00258,2.00E-05,0.00115,0.00122,0.00346,0.0145,0.137,0.00633,0.00788,0.01267,0.01898,0.00659,26.833,0.393563,0.700246,-6.600023,0.249172,2.499148,0.105306
phon_R01_S25_6,151.989,157.339,132.857,0.00174,1.00E-05,0.00075,0.00096,0.00225,0.01024,0.093,0.00455,0.00576,0.00993,0.01364,0.00238,29.928,0.311369,0.676066,-6.739151,0.160686,2.296873,0.11513
phon_R01_S26_1,193.03,208.9,80.297,0.00766,4.00E-05,0.0045,0.00389,0.01351,0.03044,0.275,0.01771,0.01815,0.02084,0.05312,0.00947,21.934,0.497554,0.740539,-5.845099,0.278679,2.608749,0.185668
phon_R01_S34_6,223.361,263.872,87.638,0.00352,2.00E-05,0.00169,0.00188,0.00506,0.02536,0.225,0.01379,0.01478,0.01909,0.04137,0.01493,20.366,0.566849,0.574282,-5.456811,0.345238,2.840556,0.232861
phon_R01_S37_3,117.87,127.349,95.654,0.00647,5.00E-05,0.00356,0.003,0.01067,0.03087,0.276,0.01659,0.01804,0.02402,0.04977,0.02631,22.431,0.6283,0.652025,-3.583722,0.207914,2.439597,0.206256
phon_R01_S37_4,122.336,142.369,94.794,0.00727,6.00E-05,0.00415,0.00339,0.01246,0.02293,0.223,0.01205,0.01289,0.01771,0.03615,0.03191,22.953,0.611679,0.623731,-5.4351,0.230532,2.699645,0.220546
phon_R01_S37_5,117.963,134.209,100.757,0.01813,0.00015,0.01117,0.00718,0.03351,0.04912,0.438,0.0261,0.02161,0.02916,0.0783,0.10748,19.075,0.630547,0.646786,-3.444478,0.303214,2.964568,0.261305
phon_R01_S43_5,115.38,123.109,108.634,0.00332,3.00E-05,0.0016,0.00199,0.0048,0.01503,0.137,0.00812,0.00933,0.01133,0.02436,0.00401,26.005,0.405991,0.761255,-5.966779,0.197938,1.974857,0.184067
phon_R01_S43_6,116.388,129.038,108.97,0.00346,3.00E-05,0.00169,0.00213,0.00507,0.01725,0.155,0.00874,0.01021,0.01331,0.02623,0.00415,26.143,0.361232,0.763242,-6.016891,0.109256,2.004719,0.174429
phon_R01_S50_6,214.289,260.277,77.973,0.00567,3.00E-05,0.00295,0.00317,0.00885,0.01884,0.19,0.01026,0.01161,0.01373,0.03078,0.04398,21.209,0.462803,0.664357,-5.724056,0.190667,2.555477,0.148569